Neuron Name,Location of First Spike,Time of First Spike (ms),Titration Factor
S2_VL_Abeta_0  (S2_VL),node6251[31],0.5324999999999942,40.0
S2_VL_Abeta_1  (S2_VL),node6252[35],0.5099999999999947,43.5
S2_VL_Abeta_10  (S2_VL),node6261[42],0.49999999999999484,38.5
S2_VL_Abeta_11  (S2_VL),node6262[37],0.5299999999999943,32.25
S2_VL_Abeta_12  (S2_VL),node6263[44],0.49999999999999484,40.0
S2_VL_Abeta_13  (S2_VL),node6264[37],0.5224999999999944,32.5
S2_VL_Abeta_14  (S2_VL),node6265[41],0.49999999999999484,37.75
S2_VL_Abeta_15  (S2_VL),node6266[40],0.492499999999995,38.5
S2_VL_Abeta_16  (S2_VL),node6267[65],0.49499999999999494,63.0
S2_VL_Abeta_17  (S2_VL),node6268[47],0.5549999999999937,44.5
S2_VL_Abeta_18  (S2_VL),node6269[35],0.48499999999999516,33.75
S2_VL_Abeta_19  (S2_VL),node6270[37],0.5749999999999933,33.25
S2_VL_Abeta_2  (S2_VL),node6253[35],0.6224999999999923,44.25
S2_VL_Abeta_20  (S2_VL),node6271[36],0.4874999999999951,35.5
S2_VL_Abeta_21  (S2_VL),node6272[37],0.587499999999993,37.0
S2_VL_Abeta_22  (S2_VL),node6273[44],0.5674999999999935,44.5
S2_VL_Abeta_23  (S2_VL),node6274[32],0.5449999999999939,31.0
S2_VL_Abeta_24  (S2_VL),node6275[41],0.5199999999999945,41.25
S2_VL_Abeta_25  (S2_VL),node6276[32],0.48499999999999516,33.25
S2_VL_Abeta_26  (S2_VL),node6277[36],0.5924999999999929,35.0
S2_VL_Abeta_27  (S2_VL),node6278[39],0.5499999999999938,41.0
S2_VL_Abeta_28  (S2_VL),node6279[37],0.5024999999999948,38.0
S2_VL_Abeta_29  (S2_VL),node6280[39],0.49999999999999484,40.25
S2_VL_Abeta_3  (S2_VL),node6254[39],0.5049999999999948,47.75
S2_VL_Abeta_30  (S2_VL),node6281[37],0.5199999999999945,39.75
S2_VL_Abeta_31  (S2_VL),node6282[42],0.5099999999999947,44.75
S2_VL_Abeta_32  (S2_VL),node6283[40],0.5074999999999947,44.0
S2_VL_Abeta_33  (S2_VL),node6284[40],0.5174999999999945,41.75
S2_VL_Abeta_34  (S2_VL),node6285[38],0.49499999999999494,40.0
S2_VL_Abeta_35  (S2_VL),node6286[38],0.5299999999999943,41.25
S2_VL_Abeta_36  (S2_VL),node6287[34],0.492499999999995,38.25
S2_VL_Abeta_37  (S2_VL),node6288[34],0.5324999999999942,38.0
S2_VL_Abeta_38  (S2_VL),node6289[38],0.5499999999999938,41.5
S2_VL_Abeta_39  (S2_VL),node6290[45],0.4774999999999953,51.0
S2_VL_Abeta_4  (S2_VL),node6255[40],0.4774999999999953,52.0
S2_VL_Abeta_40  (S2_VL),node6291[31],0.492499999999995,36.0
S2_VL_Abeta_41  (S2_VL),node6292[35],0.5649999999999935,40.0
S2_VL_Abeta_42  (S2_VL),node6293[41],0.539999999999994,46.75
S2_VL_Abeta_43  (S2_VL),node6294[49],0.5024999999999948,57.5
S2_VL_Abeta_44  (S2_VL),node6295[33],0.5324999999999942,38.0
S2_VL_Abeta_45  (S2_VL),node6296[38],0.49999999999999484,45.0
S2_VL_Abeta_46  (S2_VL),node6297[37],0.539999999999994,46.0
S2_VL_Abeta_47  (S2_VL),node6298[35],0.542499999999994,41.5
S2_VL_Abeta_48  (S2_VL),node6299[36],0.5674999999999935,43.5
S2_VL_Abeta_49  (S2_VL),node6300[41],0.49999999999999484,50.5
S2_VL_Abeta_5  (S2_VL),node6256[38],0.49999999999999484,32.75
S2_VL_Abeta_6  (S2_VL),node6257[45],0.49999999999999484,38.5
S2_VL_Abeta_7  (S2_VL),node6258[42],0.49499999999999494,37.0
S2_VL_Abeta_8  (S2_VL),node6259[44],0.5249999999999944,37.5
S2_VL_Abeta_9  (S2_VL),node6260[43],0.492499999999995,36.5
